,question
95,pend centain dann nestc 
96,format clerg font plan local 
97,renouveau forc 
98,concept actuel lautor 
99,leglis princip lautor nest contest nestc 
100,témoign vital leglis 
101,musulman 
102,tout grand philosoph 
103,alor puisqu pourquoi estce cet argument a pris 
104,ète professeur philosoph plus nestc 
105,euh unanim question sépar leglis letat 
106,franc 
107,quel point vu enfin quel côt 
108,euh fait petit incis nestc 
109,fait suppléanc fait droit lessentiel 
110,  non a bruit ici hein non 
111,ça gen 
112,ah bonjour monsieur cest renseign point vu militair 
113,  ète sûr  parc sais
114,centr dorient scolair professionnel 
115,faut létudi point vu psycholog voyezvous 
116,  psycholog oui 
117,euh aptitud 
118,voyezvous  grâc proced just fait
119,  test nestc  psycholog
120,don exempl petit mécan nestc 
121,comm dit famili nestc 
122,travaillon ensembl somm voyezvous 
123,cest cest surtout élev viennent bien parent auss 
124,  pourquoi 
125,euh voilà jai fil a vingtdeux an nestc 
126,enfin dis madam pourquoi fil vient 
127,   non 
128,emploi 
129,pens cest si euh fondamental savoir peu 
130,famill voyezvous 
131,ah ça ça ça manqu beaucoup voyezvous 
132,nestc  fair conférent
133,nestc  a
134,lextrem nestc 
135,nestc  doit men travail effect
136,lenseign franc 
137,vrai nestc 
138,viv pet univer bourgeois proteg parl lélev lyc nestc 
139,cest vrai 
140,  nestc 
141,nestc 
142,vi économ vi méti moin nestc 
143,  moment 
144,autr dit cest ça questc quon enseign 
145,flaubert nestc 
146,car vi questc faison tous 
147,tres pet nombr nestc 
148,inconcev franc nestc 
149,peux affirm vrai nestc 
150,nestc 
151,pensezvous  crois
152,plus concret voyezvous 
153,combien 
154,peuton 
155,littérair 
156,si voi questionnair quon pos livr sixiem nestc 
157,cest cest terribl nestc 
158,social franc avant tout voyezvous 
159,voyezvous  cest
160,élev cest tres curieux nestc 
161,quon dit mainten socioéconom parm élev voyezvous 
162,questc repensaisj là  propos latin auss
163,voul dir point vu promotionnel 
164,voi oùs situ class second 
165,  premi cycl nestc 
166,middl school you hav the word 
167,middl school you los the word 
168,mettr comm professeur là dedan 
169,développ scolar nestc 
170,opin polit euh bien défin 
171,  si peu 
172,  actuel 
173,oui a tout mem nestc 
174,ça tient surtout condit vi pens 
175,  enseign franc 
176,  hm hm oui nestc  oui exact
177,caractérist particuli tant vill 
178,moment mai alor euh questc quil sest pass 
179,estce quil a résultat concret 
180,parlon vet nestc 
181,alor questc quil faut 
182,enfant vousmem 
183,compt mainten rest orléan 
184,cest cest concert 
185,pourquoi avis madam 
186,quel point vu 
187,  oui ète tourangeau nestc 
188,  daccord entre deux franc auss 
189,oui quel but apres tout quel but 
190,non non enfin veux dir quel but travail 
191,  crois éclect 
192,comment cel sexpliqu 
193,enfin ça ça dur plus longtemp seul 
194,lépoqu cet 
195,cest cest cest quoi décid choix manuel 
196,cest nouveau manuel cest 
197,croi élev apprécient beaucoup genr manuel 
198,comment manuel angleterr 
199,croi cest valabl 
200,  questc ça veut dir util dabord 
201,euh désaccord parent élev 
202,ah oui ça ça exist depuis longtemp 
203,alor ète professeur latin grec trouv quil toujour standing 
204,estce ça pass estce cest comm ça ça pass franc 
205,  demand euh questc allez fair 
206,oui non cet équip constitu comment 
207,  pourquoi orléan 
208,caus crdp peutetr auss non
209,cest apres quon part vendôm voi oùest vendôm 
210,las fait tout seul 
211,oùton autr cendri 
212,las peint tout seul ça 
213,comment tappel 
214,aim canard 
215,  veux montr 
216,cest tres bien lautr cet pap 
217,  deux pap 
218,cest canard 
219,rôl censeur ça consist quoi exact 
220,lyc sourc cest cas 
221,  attach 
222,lav vu oui 
223,bien sûr enfin a toujour faut toujour avoir deux point vu nestc 
224,euh ète orléan dit depuis neuf mois 
225,oui alor net orléan 
226,ète parisien peutetr 
227,hum depuis combien temp estce renault sest install ici orléan 
228,enfin pos question euh main doeuvr personnel estce trouv quà orléan quil faut 
229,form main doeuvr plac 
230,cest possibl non 
231,estce cest cas ici 
232,cel suff 
233,estce euh z questc quon dit estce euh estce quon dit object product 
234,estce quil rest quand mem initi 
235,personnel estce orléan paris 
236,quel mani organis typ renault differ dun organis indépend dentrepris libr 
237,directeur général dun 
238,sen respons sen dengag 
239,faut dir lintéret pren personnel 
240,renault 
241,cest pratiqu cest possibl 
242,financi 
243,sugger dautr méthod dautr proced dautr euh 
244,diffus enregistr patronat franc non 
245,pouv effac 
246,fait étud orléan 
247,euh chez per 
248,alor estce cest mainten frer dirigent 
249,peutetr pens èt fair autr chos 
250,exist avant cel 
251,estce product euh chez desbois a chang 
252,natur estce produis toujour mem typ vinaigr quil a cent an 
253,mem 
254,quel quel product annuel 
255,jour estce combien estce pouv produir jour 
256,estce product plutôt limit vent pouv 
257,a longtemp déjà chang méthod product 
258,estce euh chef ser servic vent 
259,combien salari 
260,ah fait auss conserv 
261,comm petit entrepris 
262,import vin maghreb donc limit 
263,pourquoi estce donc facil trouv suppl compl franc 
264,  distiller 
265,euh trouv difficult 
266,comm euh certain autr semblent sent 
267,demploi bureau avezvous entrepris 
268,euh estce quil a pression syndical 
269,euh exercent pression 
270,quoi consistent convent collect 
271,quel quel group auquel part apparten 
272,estce tent associ autr entrepris si nécessair 
273,assez plein contact social dactiv 
274,  intéress polit 
275,estce quil a part polit représent opin 
276,part estce but part object part chang depuis départ général 
277,gaullism droit gauch 
278,eh bien voudr demand premi monsieur depuis quand ète orléan 
279,estce orléan sembl satisfais mainten comm emplac 
280,produis donc rel électron 
281,estce produis euh comment estce quon dit  catalogu estce command euh
282,doùviennent mati premi 
283,savoir si elle viennent si elle dimport si elle région 
284,petit 
285,petit 
286,  estce 
287,surtout personnel tres qualifi 
288,quel certificat estce pren ouvri form 
289,quel proport dhomm femm 
290,  emploi 
291,personnel plus expert cest masculin plutôt 
292,trouv ici orléan 
293,a réuss 
294,cit scolair questc cel veut dir cit scolair 
295,euh examen sélect 
296,estce quil faudr avoir côt certificat fin détud 
297,estce a décid construct cet cit cest vill 
298,mem lachat terrain 
299,nombr élev chaqu class 
300,  pourquoi 
301,conseil dadministr 
302,tout travail 
303,parl 
304,examen tres import donc 
305,ah tout lenseign fait cest ici donc orléan 
306,cent cinqu combien pretr 
307,cest laid financi letat 
308,  permet cel 
309,pos candidatur oùexact comment 
310,pardon voi plusieur candidat mem post vac 
311,cest depuis dixneuf cent cinquanteneuf seul 
312,euh contrat paraît satisfais 
313,format professeur lenseign cathol 
314,affect lenseign cathol 
315,lenseign cathol auss 
316,anné récent 
317,rempl condit dadmiss 
318,part centr recherch 
319,  deux cent mill habit 
320,point vu mental 
321,mutat quel état 
322,euh questc pens 
323,estce enfin a interact entre deux 
324,  accept 
325,oui per auss militair 
326,suppos lintent rest orléan mainten 
327,euh euh éduc dit déjà saintcyr avant saintcyr 
328,  quel journal lis 
329,ah bon 
330,distrair non 
331,euh mention franc cathol cestà dir ète cathol 
332,  euh voi autr chos 
333,quel typ dentrepris exempl 
334,orléan a rien 
335,oùeuh f facil accord syndicat plus import 
336,  hiérarch professionnel qualif professionnel nestc 
337,  pourquoi hein 
338,estce pouv précis pet peu enfin euh 
339,quoi alor plutôt 
340,estce quon peut fix jour 
341,estce quil ici moment 
342,quel raison 
343,bon voi 
344,suisj train commettr erreur 
345,  dossi maîtr 
346,a apprennent sen serv 
347,  facil 
348,voyezvous 
349,plus pres dun dun centr culturel 
350,atil beaucoup franc parl larab 
351,croi deux communaut pourr vivr non seul symbios osmos peutetr 
352,perfid là dedan 
353,eh bien peuton prendr point concret vi pratiqu chaqu jour réalis mem chos 
354,hiérarch but 
355,quun ouvri 
356,oui commenc réalis cel ici galer 
357,quà longu intéret patron ouvri mem entrepris 
358,cel renferm term contest 
359,euh droit dachet action 
360,enfin syndicat syndicat opèrent ici 
361,problem commun 
362,  cest vrai 
363,cest peu distract mem temp enfin euh sav 
364,intellectuel international 
365,oui alor voilà côt problem lautr dit euh méthod 
366,croi meilleur cel quon emploi jusquic 
367,trop détudi 
368,autr pend scolar euh appris euh plusieur enfin langu étranger ça cest évident euh questc 
369,mainten langu là plus euh portug bon portug débrouill espagnol anglais pouv débrouill ten convers 
370,euh questc alor é étud apres fait où questc suiv comm étud 
371,euh donc bon mainten euh niveau vi priv donc deux enfant cest ça  quel âge 
372,cest petit garçon petit fill 
373,  comment sappellent 
374,ça pass bien aiment bien aller lécol 
375, regard tel 
376,frer soeur 
377,questc quil fait mainten si cest indiscret 
378,là habit où mainten 
379,maison appart 
380,pourquoi peu nostalg maison 
381,euh scolar où estce lav fait enfin lav fait toulous quel quarti 
382,pa franc allez fois portugal 
383,estce euh donc parm tout anné euh primair plutôt peutêtr colleg lyc  a voilà estce quil a quelqu chos a euh laiss tres mauv souven niveau scolair éven quelqu chos sais 
384,donc post denseign portug cest dir cap  donc ça fait combien temp enseign maint 
385,lyc 
386,donc étud lettr repris pris quand 
387,quel anné fait 
388,cest peu frustr 
389,lill ça pass bien 
390,hum hum parent donc tous deux originair portugal 
391,  où exact portugal 
392,longtemp tres longtemp fait 
393,fait peu doubl cursus tout 
394,lav fait fait mirail 
395,daccord euh dailleur chez parl portug parent 
396,daccord euh fait euh pend étud parc ça a dur combien temp étud avant pa dêtr enseign 
397,donc just pend étud quand interrompu fait quoi comm euh profess avant fair euh avant dêtr enseign portug quoi 
398,attach fait port 
399,donc quand alli vacanc fait quand attach quoi estce quil a chos 
400,bât famill fais quoi portugal 
401,  hum fais quoi comm typ  
402,mainten habitent encor toulous 
403,apres lécol 
404, fais activ sais questc fais 
405, rest létud 
406,lécol fait euh appris quel langu étranger 
407,gard bon souvenir 
408,maîtris bien  mainten las oubli 
409, oui e aim bien 
410,sais quel genr film aim bien 
411, sais quel  quatr derni film vus
412,cest quoi sais quatr derni si class  derni trois quatr tont plus plu  ça quoi 
413,par euh sais quand fréquenc cest q vrai rar 
414,daccord létrang a temp temp 
415,  cest peu réguli
416,cest pareil a fait étud où toulous 
417,toujour habit rod 
418,consider vrai comm maison denfanc maison famill 
419, cest maison vill cest maison 
420,donc euh cinq enfant ça veut dir quatr frer soeur 
421,euh autr questc fais 
422,autr questc fais voilà  questc fais temp loisir fait  comm loisir 
423,apres co euh colleg cet auss colleg priv 
424,cet pareil fait lambianc tres symp 
425,  donc bon souvenir 
426,  tres mauv souven contr 
427,lambianc symp autr 
428,autr niveau vi euh personnel donc habit toulous où estce estce cest loin lieu travail euh 
429, cest centr vill
430,euh donc rentr ling enfin fac linguist déjà truc document 
431, las fin 
432,parent originair rod 
433,hum hum euh parent estce quil enfin issus quel euh typ milieu 
434,a fait étud euh a fait étud a travaill 
435,  où ça 
436,a rod 
437,cest combien kilometr toulous peu pres 
438,donc tout temp habit rod avant 
439,euh a combien dhabit peu pres rod 
440,regard quoi comm genr démiss 
441,infos regard tel achet mond fais deux 
442,autr euh estce euh sais écout musiqu questc fait chez si écout peu musiqu quel genr musiqu si écout
443,daccord autr questc pratiqu euh estce pratiqu mainten sport instrument musiqu enfin voi activ  dehor lécol
444,hum hum là fait plus rien  quand  jeun estce fait pend longtemp sport musiqu dans enfin
445,daccord euh donc paris aucun souven fait
446,donc cest hasard fait
447,euh estce euh vécu plusieur endroit région euh toulous midipyrénée
448,hum hum alor euh just donc toulous venu comm étudi mainten famill habit auss toulous
449,daccord euh estce aim mieux carcasson enfin région limoux toulous
450,pourquoi
451,euh ensuit euh  apres colleg lyc questc fait fait
452,daccord donc apres colleg lav fait carcasson  
453,donc apres venu toulous comm étudi
454,donc mainten tres content dêtr toulous  daccord  euh donc euh per fait fait quoi fait si cest indiscret comm profess euh
455,daccord euh famill sudouest
456,daccord euh donc vo per a a a toujour habit euh toulous mer limoux bien tous habit  limoux famill
457,euh apres bon colleg limoux carcasson
458,hum hum lyc cet auss carcasson
459,alor estce gard exempl tres mauv souven lécol dun enseign dun dun éven estce pouv racont
460,euh donc plein capitol
461,hum daccord autr questc fait comm activ euh dabord estce questc fait chez soir euh
462,regard inform plus ça  documentair
463,daccord euh dem cest demisoeur cest ça toulous  fait fait a quel âge fait quoi
464,alor autr comment estce viv donc là appart capitol estce tout seul estce partag copain amis euh
465,ouais puis recommencent tout  euh allez quand enfin apres limoux aim bien aller aller souvent weekend euh
466,donc lécol primair pet villag  cet fait non
467,toulous région autour toulous
468,daccord euh estce per parl occitan enfin langu régional  tout  originair dordogn cest ça
469,habit où euh pres dordogn quel coin
470,hum hum euh travaill où fait hôpital
471,donc gard bon souven  si cet refair ref ça
472,lyc sais estce quil a chos philo enfin a mati plu plu
473,a saintsernin euh questc prépar fait
474,apres integr fac  donc fac
475,term dactiv sort peu toulous
476,donc parent originair castr campagn
477,donc questc quil fait per
478,habit donc castr vill  hum hum côt mer
479,donc cest pareil fait cest vrai gen habit vill  mer fait quoi
480,cest studio cest quoi
481,regard tel euh  questc regard euh
482,regard auss émiss langu régional plus  ça
483,questc fait comm activ parc bon  lopr sort peu
484,aim bien
485,franc voyag peu euh
486,là cest quoi  programm euh
487,donc cet littératur français contr
488,si historien scienc po  ça tent ça tent
489,ça fait peur savoir  cocomment ça fait peur
490,alor linternat
491,vill
492,  alor ronsard nav
493,aim bien
494,allez temp temp villeslà 
495,dun point vu vill
496,hum hum donc travaill euh représent commercial a fait étud a fait bt a quoi comm format fait 
497,donc arriv ver douz an deux an
498,voul fair ça 
499,prep 
500, pourquoi chois prep just 
501,hum hum cest quoi comm appart 
502,donc a fait bt  essai trouv travail suppos 
503,euh autr aadonc avant prep reviendr apres euh niveau lécol primair colleg lyc où estce fait scolar euh 
504,daccord plaisanc comment lécol primair
505,donc ça cet primair euh cet bon beaucoup délev cet petit vrai petit écol
506,colleg
507, mauv
508, où prep dabord 
509, lav faît où
510,concour donc lav pass cet quoi domin lettr modern auss 
511,hum hum  donc apres équivalent deug donc arriv licenc différent entre fac prep
512,autr niveau lambianc rapport prep contact  jall dir pair cestàdir autr étudi euh 
513,vit per mer 
514,euh donc euh entend bien connaiss plus ça 
515,fois regret dêtr euh tout seul enfin trouv ça lourd 
516,donc cest presqu plus qualit person cest tout mélang enfin sais
517,just langueslà enfin litalien pens non lallemand langl pouv débrouill 
518, pay
519,daccord euh donc a aller lécol auss scolaris carcasson 
520,class enfin cet comm écol campagn où a trois niveau 
521,alor là souvenir prep lou grand souvenir paris 
522,euh donc lou grand cet internat suppos
523,apres donc euh ca enfin léquivalent cet cap déjà 
524,donc là lyc cet euh cet grand lyc cet pet lyc term nombr détudi term 
525,euh apres lyc 
526,prep modern 
527,cet quoi recherch lépoqu
528,apres donc euh cest quand rentr mirail 
529,pend combien temp 
530,alor cooper 
531,daccord euh fait ça ça fait combien kilometr toulous fait peu pres laud 
532,autr laud cet toujour vill villag cet 
533,donc vill natal ça carcasson 
534, cest plan fait 
535,apres redescendu 
536,hum hum  daccord donc fait aucun vit région 
537,petit enfant 
538,jardin just cet jardin dagr jardin potag
539,donc tout mond habit cet maison fait 
540,cest jardin potag cest 
541,grandparent 
542,donc appart 
543,va retent concour sav 
544,autr ben ah ben alor donc là bon passion euh linguist questc passion parm tout mati quil a linguist 
545, estce quil a passion plus dautr estce quil a 
546,daccord euh fais quoi euh alger fait propriétair terrien 
547,daccord mer arriv quel âge ici 
548,  estce sav peu pres 
549,où exact 
550, chang quarti 
551,parent divorc 
552,voi beaucoup per 
553,daccord  donc grandparent paternel quand contact 
554,euh pet just part vacanc quelqu part enfin 
555,estce fois regret ça enfin fait choix veux dir euh 
556,donc plus tard donc linst sav trop   sav trop angoiss 
557,pourquoi
558, quel genr just 
559,quel genr 
560, estce cest hasard estce questc 
561,donc lann derni cit u avant enfin 
562,donc a parcour dir plus canon 
563,pourquoi 
564,donc apres larm lav fait où larm 
565,puis jeu sappel euh  trappetrapp sais si connaiss  
566,alor questc sest mal pass lyc 
567,euh questc questc pass mal 
568, cris dadolescent cet euh vrai 
569,alor euh autr estce musiqu estce écout tout
570,voyag létrang peu famill tout seul
571,hum hum pouv décrir pet peu
572,hum hum situ où cet appart
573,donc là licenc tal  euh fait voul estce sav voul fair plus tard plus ça
574,daccord donc cest cour particuli  fait
575,questc quil font math
576,hum hum autr alor quà mazamet regard peu plus tel  questc regard euh
577,daccord a fait étud où 
578,apres a redemand reven mazamet
579,pouv décrir peu euh maison parent famill tout ça quoi
580,a jardin
581,euh v parl occitan
582,daccord comm job essai trouv quoi fait
583,questc quel fait mirail auss
584,cet où cet cet vill
585,cest peu pres équivalent
586,euh fais ten euh enfin inscrit où
587,fais où planch voil
588,pyren alpe
589,vas où 
590,famill euh frer soeur nombreux
591,euh ausss parlent enfin euh estce quauss sensibilis loccitan
592,où estce allé lécol cet lécol villag cet
593,loin chez lécol
594,per questc quil fais per questc quil fait encor per
595,mer estce quel travaill auss estce quel  
596,aim bien
597,sinon apres allé toulous étud
598,donc paris souven
599,ben  donnezmoi coup fil  pourr boir coup   rest semain euh semain prochain  a vacanc
600,lan prochain allez fair maîtris
601,chant
602,petit truc connaiss chanteux juliet
603,parc quel pass fac fnac a longtemp non
604,cour linguist sort là
605, cest bien
606,sinon fait khâgn hypokhâgn khâgn  donc fac cest tranquill
607,oh cest si euh étroit ça si
608,hum enfin pris quel euh
609,oui oeuvr 
610,combien délev peu pres class souvenir  approxim tout
611,souvenir dactiv fais cour récréat comm ça
612,daccord euh arriv toulous quand fait
613,habit carcasson
614,euh a écol
615,hum hum euh a quoi dautr estce quil a auss activ sais lotos chos comm ça
616,hum hum côt mer alor
617,daccord euh agriculteur pet villag pres rod pres où ça x 
618,cest encor comm ça mainten
619,hum hum donc mauv souvenir euh cet dû quoi lambianc chang vi fait dêtr plus nombreux class
620,euh lambianc contr estce cet mieux colleg gard meilleur souven
621,donc  vit fac  e alor comment réag euh questc a plu plus
622, estce rappel plus moin
623,là cet anné tent liufm encor
624,daccord euh quel écol primair roullen
625,euh donc maîtris donc linguist questc a plu linguist
626,maîtris mainten quoi
627,hum hum questc ça  enfin ça consist fair quoi exact
628,cest effectu enregistr comment
629,euh donc option obligatoir  option hor cursus
630,autr euh option cursus questc a vrai plus plu
631,lécol just march roullen où attir auss enfant dautr villag   
632,hum hum daccord euh donc toulous just estce questc estce aim toulous rapport roullen estce préfer campagn euh sais 
633,euh alli lécol pied
