,question
117,estce plais orléan 
118,estce quil a chos déplaisent 
119,estce pourr dir euh avis quel principal qualit orléan 
120,si si choix vousmem estce aim habit ailleur 
121,estce famill jou beaucoup recherch travail exempl 
122,  questc consider comm euh moment plus import vi 
123,estce aim fair autr chos comm méti 
124,monsieur estce pouv dir comment ète venu exerc méti 
125,  estce pouv dir chanc rapport quoi  estce pu avoir vi
126,  différent 
127,estce ète content horair travail 
128,  estce trouv travaill trop 
129,euh questc ça veut dir exact dapres 
130,  questc pens 
131,enfin quel person tutoi quel person vouvoi 
132,hm a hiérarch total entre entre homm 
133,estce quil a gen tutoi vouvoi 
134,estce expérient femm moin tendanc tutoi 
135,pens lenseign langu franc 
136,estce conséquent format séminar euh a dû évolu 
137,euh estce contenu a dû chang 
138,fair fac nouveau problem 
139,estce voi héritag possibl laiss leglis époqu 
140,voulezvous mieux 
141,ète désir reven régim concordatair 
142,or estce accept parl peu lenseign libr 
143,euh estce ça ennui reven ver fin laprèsmid 
144,questc voul fair cet facult lettr 
145,oùvoulezvous aller  quel méti voulezvous fair 
146,fait lélev pend trois derni anné dun lyc 
147,  différent ni niveau  a
148,estce quil a estce quon peut parl mot class 
149,  quelquefois  oui
150,avezvous vu cet courb consomm a quelqu jour 
151,  vu bas dun pag là 
152,vu comm cest bas 
153,vu cet courb 
154,tet nestc  sav euh
155,quen pensezvous 
156,  comment avezvous chang méti comm ça 
157,estce croi cel a march 
158,quand estce ète venu orléan 
159,questc attir 
160,pourquoi estce quun franc toujour ètre doubl 
161,comment vaton fair contr allemand 
162,estce lis réguli dautr euh dautr journal dautr revu 
163,curtius dieu estil franc 
164,oùestc log ici 
165,bien ète bien 
166,quoi sert manuel 
167,frer soeur 
168,vas vas class vas lécol 
169,questc fais dautr 
170,questc dessin
171,questc veux cher 
172,quel mod commun 
173,quoi tientel 
174,comment situ libert 
175,liniti pédagog estel possibl 
176,répondr besoin scolair 
177,lécol publiqu 
178,estce jam envi dall ailleur 
179,pourquoi estce vinaigr sétabl 
180,oùestc trouv débuch débouch 
181,estce export 
182,estce pourr parl mainten sourc mati premi emploi 
183,estce regret départ général 
184,questc questc fais coeur polit 
185,combien demploi estce quil faudr deven entrepris moyen rest petit 
186,estce quil a syndicat maison crois certain 
187,estce mensualis affect déjà 
188,entre différent class 
189,exist pourquoi cré autr 
190,hm jusquoùsétend libert initi 
191,quel domain 
192,construct 
193,  estce cest décid cel 
194,  rapport léquip oui 
195,estce pourr pos quelqu question mainten rôl 
196,quoi consist surtout travail 
197,parent quelqu contact 
198,quel mati donc plus import 
199,oùestc plac cet controvers latin 
200,tant professeur tant pretr estce distingu 
201,estce quil a tradit famill 
202,euh estce pourr dir combien délev a tout 
203,quel quel rôl spécif lenseign euh cathol mainten 
204,comment estce pouv fair cel donc euh avoir class moin nombreux 
205,estce parent élev euh paient entrer ici 
206,comment estce quon devient professeur donc mainten laïqu 
207,viennentil chez vontil lyc 
208,estce quil a dautr contrôl exempl manuel 
209,euh estce cel laiss toujour quelqu chos désir 
210,comment estce parent chois pensezvous entre lenseign public lenseign priv 
211,dun certain nombr famill estce cest tier estce cest moiti 
212,  estce quil a espec limit financi 
213,fait chambr commerc 
214,estce chambr commerc dorléan loiret jou rôl régional 
215,comment donc euh faitesvous euh gard ici intelligent dont parl 
216,  quel mesur 
217,croistu ça demand maindoeuvr estce orléan pourr fair davantag appel maindoeuvr étranger 
218,euh momentlà euh quel effect  euh sait
219,  k questc fait dir cel 
220,quel but lexpans économ 
221,estce quil dun origin social spécif 
222,estce pens propos societ orléanais puiss parl class social 
223,ète euh économ format 
224,questc pens 
225,quand rest là combien temp 
226,  alor dabord estce habit orléan 
227,soir musical intéressent 
228,encor mainten revend sinon enfin estce quil a nouveau typ douvri 
229,alor estce quil sen tiennent quand mem but modest 
230,quel rôl femm euh 
231,général ouvri pref quel genr 
232,  euh connaiss crdp 
233,euh estce quil a ouvri fréquentent maison cultur 
234,questc pens général lenseign franc 
235,questc préfer 
236,alor cest marriv ben deuxiem question quel contact popul 
237,estce tout mond parl arab 
238,mem temp musulman fais tout fais tout leur étud franc nestc estce jai tort 
239,lenvisag quel différent 
240,question euh légal peutetr estce quil a besoin chang loi 
241,questc pens tout boulevers donc 
242,quel point vu particuli 
243,musiqu écout estce aim ça estce écout plus ça 
244,autr euh pend vacanc questc fait enfin estce rest toulous estce voyag peu 
245,colleg  où estce 
246,fait petit boulot pend étud tout 
247,alor estce né région toulous 
248,fait racin où si parl enfanc ça évoqu tout suit toulous fait 
249,daccord donc fait euh ben just questc aim naim questc choqu lill rapport toulous euh 
250,hum hum fais per fait 
251,estce vas cinem 
252,euh estce regard sport tout tel 
253,euh autr pend vacanc estce voyag létrang 
254, estce fais activ dehor recherch 
255,estce trouv euh chercheur a bon condit travail 
256, estce trouv con depuis début depuis commenc  condit travail elle amélior amélior euh 
257,autr donc apres colleg enfin apres lyc venu toulous  fait quoi comm étud toulous 
258, questc quil fais comm profess questc quil 
259,hum hum euh per estce quil a élev langu régional 
260,euh estce né région toulous 
261,né où exact 
262,quand estce euh arriv toulous 
263,trouv a gross différent ça choqu quand arriv 
264,top euh estce né région toulousain
265,daccord euh arriv toulous ver quel âge etc  
266,parent région toulous bien euh
267,just parm cursus questc préfer enfin parm tous cour estce quil a vrai intéressent plus dautr
268,donc là gard moin bon souvenir bien euh  ça va quand
269,euh donc cest plein centr questc fait comm activ autr dehor heur enfin dehor étud quoi
270,euh autr fait musiqu cout musiqu
271,questc vu dernir estce quil a film plu
272,autr estce pend vacanc a arriv voyag auss  oestc voyag
273,donc euh bon là quatr an  oui euh questc ah oui appris langu étranger questc estce quil a mati découvert plu euh
274,enseign
275,pourquoi a lyc castr
276,estce quil maîtris dautr langu franc
277,cour a fait quoi comm étud
278,a fait étud où
279,deux maison  estce quil a dont dit cellelà cest maison enfanc voi  représent euh  pouv décrir dir où situ castr euh enfin quel typ
280,alor estce dabord questc ça a fait estce ça a choc contrair  estce ça a rével estce quil a chos auxquel nav jam pens parc cest pet dictionnair  comment voi chos
281,apres lécol fais quoi jou petit copain copin
282,estce lécol primair a éven  instituteur institutric enfin  dont gard tres tres bon souven  estce pouv racont
283,daccord donc cest bon souven dun denfanc  autr estce quil a quelqu chos dont gard tres mauv souven
284,euh autr bon apres euh colleg
285,dautr mati littératur fait  estce ça ça gên
286,euh littératur compar déjà
287,euh frer soeur
288,autr just grandsparent euh dun côt lautr estce tres proch estce souvenir davoir voir souvent weekend enfin voi
289,euh donc autr lécol primair où estce alli lécol primair
290,alli pied donc   estce souvenir dabord cet écol quoi ressembl jeux fais cour récréat enfin sais vi décoli primair quoi
291,questc fais comm activ cour récréat
292,top alor estce euh né région toulous
293,just  si compar deux cest enfin questc ça représent estce aim mieux toulous estce a chos préfer toulous  dautr préfer castr enfin voi
294,donc tres attach castr
295,euh castr ça a quel taill comm vill estce pouv décrir pet peu
296,hum hum estce mental trouv différent toulous
297,euh autr fait musiqu écout musiqu
298,questc fait comm activ parc bon loper sort peu
299,questc vu derni estce quil a film plu
300,derni questc quil a comm film bon cest vrai  genr dir plus cinem adult estce quil a film plu derni
301,autr estce pend vacanc ça arriv voyag auss  oùestc voyag
302,autr déjà létrang
303,franc voyag peu euh
304,quand compar just rapport toulous questc quil a chos trouv mieux chos trouv moin bien 
305,alor estce né région toulous 
306,daccord euh estce ça plaît toulous
307,daccord questc voul fair apres fait 
308, questc attir 
309,estce aim lir autr 
310,lis quoi 
311,autr questc fait plus jeun fait activ musiqu dans  sport enfin sais 
312,autr questc fait pend pend vacanc fait 
313, estce voyag euh où exempl
314,donc estce inquiétud aven pens arriv être euh instit euh assez facil
315,autr euh mainten niveau vi priv donc appart situ où toulous
316,donc questc fait comm activ donc dehor jall dir étud 
317,hum hum regard tel 
318, écout musiqu
319,euh cinem questc vvous regard enfin suun peu tout 
320,estce goût particuli 
321,daccord grandsparent fais quoi 
322,per beaucoup frer soeur fait 
323,daccord côt mer mainten 
324, gard bon souvenir estce  ra souvenir chos fais cour récréat enfin chos comm ça
325,alor euh bon apres euh si revient prep just questc euh bon souvenir prep 
326,pouv décrir maison  sais estce déménag toulous toujour habit ici 
327,hum hum euh frer soeur
328,estce quil a euh contrair laiss tres bon souven 
329,lyc gard bon souven auss 
330,donc lyc cet cet où cet carc
331,donc euh donc ça cet lécol primair  loin maison 
332,estce souvenir jeux fais récréat cour récréat 
333,cet euh lécol cet com enfin cé pouv décrir ça ressembl  
334,questc fais estce souvenir dactiv jeux fais apres lécol fait 
335,estce appris langu étranger lyc 
336,alor estce né région toulous 
337,euh fait arriv quel âge quel moment fait toulous
338,euh comparaison euh préfer toulous carcasson 
339,euh toulous estce aim bien vi questc aim bien questc aim moin euh 
340,autr euh questc estce quest fait pend voy vacanc  
341,autr voyag antérieur visit beaucoup pay bien 
342,daccord donc contr mainten vi personnel donc mari enfant 
343,pouv décrir peu cet maison vill 
344,euh donc famill frer soeur 
345,parent auss originair carcasson région  
346,hum hum  euh donc per quest quil fais comm comm profess 
347,a a fait étud jusquà quel niveau 
348,euh mer 
349,euh parl langu régional 
350,daccord euh lécol primair tres bon souven dun instituteur dun dun éven contr tres mauv souven  
351,tres mauv souven alor
352,cet famill plutôt paysan 
353,côt per contr cet 
354,hum autr questc fait sais comm activ loisir 
355,e autr euh si lis écout musiqu 
356,quel genr fait 
357,autr euh tel trop euh 
358,ok autr v donc allé lécol où là quarti saint jean 
359,a souvenir cet loin chez lécol alli pied comment ça pass 
360,hum hum euh quel souvenir lécol primair bon souvenir questc sais quand quand pens lécol primair estce quil a chos 
361,euh questc fais comm jeux recr cour récréat rappel tout 
362,hum euh autr bon part étud doivent demand mal deffort parc quand reprend plus tard souvent cest peu dur quoi activ loisir euh ben regard tel fait musiqu 
363,donc tres attach toulous cest comm vill natal 
364,daccord  a fait étud être secrétair sav 
365,a quel âge si cest indiscret 
366,hum hum daccord enseign colleg 
367,daccord euh autr bon v viv où fait toulous euh cet maison appart enfin euh 
368,daccord  maison comment situ où 
369,alor estce né région toulous 
370,daccord euh v donc toujour habit toulous 
371,hum hum aim bien cet vill 
372,parent où auss région 
373,hum hum donc euh questc quil fait per 
374,daccord alor mer 
375,questc quel fait 
376,fais quoi avant si cest indiscret 
377,euh donc région cest grandsparent maternel 
378,daccord autr regard sport intéress sport tout 
379,euh fait sport semain 
380,autr essai quand voyag peu part plus ça 
381,euh questc esper fair apres questc euh 
382,euh donc fait ça apres rentr fac 
383,pourquoi chois linguist 
384,regard inform lis journal 
385,quel tel émiss trouv plus intéress niveau actual enfin si a vrai 
386,euh donc là habit appart 
387,euh just frer a fait étud toulous auss 
388,daccord donc donc saint jean lécol primair ensuit colleg allé où 
389,saint jean auss gard bon souven 
390,donc aim bien quand vivr toulous fait
391,daccord questc quel fait comm étud 
392,hum euh autr questc fait pend vacanc
393,euh autr questc donc fait apres colleg lyc
394,pourquoi chois scienc langag
395,questc fais avant just
396,hum hum euh internet questc fait fait
397,cinem allez voir quoi comm genr film
398,questc vu derni fait
399,autr enseign estce quil a exempl enseign dont gard bon souven puis autr dont gard bon souven
400,autr donc fait quoi comm euh comm langu euh étranger pend scolar
401,pouv débrouill langu là mainten   plus ça questc capabl fair fait
402,questc quil a part cultiv
403,euh  autr lécol lécol où fait
404,hum hum questc préfer
405,alor estce né région toulous
406,quand quand estce arriv toulous
407,euh estce quil a gross différent entre toulous mazamet
408,alor estce aim vivr toulous
409,questc plaît toulous pourquoi 
410,estce souvien jeu fais cour récréat
411,hum hum  questc comm jeu ballon
412, pend loisir questc fais 
413,estce fais sport euh écout musiqu euh
414,estce quel conseil pourr don
415,euh pend scolar estce appris langu étranger
416,euh quand euh quand estce arriv toulous 
417,estce quil parl langu régional
418,donc parent euh donc parent euh parl entre euh occitan
419,euh ah maison parent quel souvenir conserv estce peux décrir
420,oui  loisir questc fait
421,alli comment estce cest parent per mer dépos estce cest ramassag scolair
422,daccord euh donc mainten questc compt fair euh apres fait
423,top alor estce né région toulousain
424,euh parent originair doù région carcasson auss euh
425,hum hum  parent questc quil fais
426,soir rentr quel heur
427,autr estce contr activ chos plu colleg
428,euh donc apres col colleg questc fait fait
429,estce quil a in enseign dont gard tres bon souven enseign colleg lyc
430,hum hum autr estce quil a dont gard tres mauv souven
431,estce quil chos  contr désarçon pet peu quand arriv fac trouv euh mal trouv marqu
432,autr term mati estce quil a chos vrai plu fac
433,alor pris quoi comm option depuis arriv fac
434,autr questc fait comm euh comm activ euh comm lois dehor dehor étud quoi
435,autr estce regard tel estce lav tel
436,frer soeur
437,euh estce appris langu pend scolar
438,euh comment débrouill mainten langueslà
439,questc fait apres euh lyc fait
440,euh parent originair doù région carcasson auss euh
441,estce a  souven euh gard anné primair bon souven alor souven dinstituteur souven dun journ dun activ enfin sais
442, estce quil a chos chos a gard dont gard tres tres bon souven
443,tres mauv souven estce tres mauv souven
444, questc fais apres lécol comment sorganis pet peu donc vi dé décoli roullen
